"","locality_id","longitude","latitude","OBJECTID","PASITES_ID","NAME","TYPE","SUBTYPE","STATUS","SOURCE","IUCN","OC_NO","ACRES","HECTARES","OC_DATE","DATE_EST","OC_NAME","NOTES","GlobalID","Shape_STAr","Shape_STLe","coords.x1","coords.x2","optional"
"255","L1131197",-114.3438303,53.3413308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.3438303,53.3413308,TRUE
"256","L3951441",-113.9224935,49.0346606,"433",5189,"Waterton Lakes","NP",NA,"OC","41","II",NA,123216.57513335,49863.97884245,NA,"1895/12/31","Waterton Lakes National Park of Canada",NA,"{EE793A4D-C5DC-4C3D-AFAE-8506F6CA69E5}",498639788.585,144112.951557,-113.9224935,49.0346606,TRUE
"257","L2463483",-114.0617967,50.8895531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.0617967,50.8895531,TRUE
"258","L382083",-114.1288733,51.0523883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.1288733,51.0523883,TRUE
"259","L1437200",-115.7789543,51.0746763,"435",5012,"Banff","NP",NA,"OC","41","II",NA,1692721.44138161,685020.06363893,NA,"1885/12/31","Banff National Park of Canada",NA,"{4016F0DE-9849-4667-881A-2A5E0DD992D0}",6850200636.4,754751.511127,-115.7789543,51.0746763,TRUE
"260","L2428792",-113.5340881,50.4528044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-113.5340881,50.4528044,TRUE
"261","L2894179",-111.3772058,56.7078155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-111.3772058,56.7078155,TRUE
"262","L457479",-112.9206562,53.4164894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112.9206562,53.4164894,TRUE
"263","L152963",-114.1705998,51.0729832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.1705998,51.0729832,TRUE
"264","L713464",-118.8119459,55.0675562,"393",1038,"O'Brien","PP",NA,"OC","41","NR","OC 328/86",145.38400164,58.83481807,"1986/05/15","1954/06/29","O'Brien Provincial Park",NA,"{1AEF0CBC-FC40-4672-85DD-E1E5D82937E8}",588348.181519,5304.99780413,-118.8119459,55.0675562,TRUE
"265","L3504729",-114.5374747,51.0903134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-114.5374747,51.0903134,TRUE
