"","locality_id","TYPE"
"816","L2565746","out"
"817","L3834066","out"
"818","L4512861","prov"
"819","L4412230","out"
"820","L3546596","out"
"821","L3576814","out"
"822","L3805346","out"
"823","L4071800","prov"
"824","L1462788","nat"
"825","L631597","out"
"826","L2976639","out"
"827","L3691228","out"
"828","L3801671","prov"
"829","L3526889","out"
"830","L3982102","out"
"831","L4326227","out"
"832","L3608349","out"
"833","L3974101","out"
"834","L3835278","prov"
"835","L3854694","out"
"836","L3450130","out"
"837","L3763578","prov"
"838","L3628275","out"
"839","L3295396","out"
"840","L3682052","out"
"841","L4958812","out"
"842","L3823108","out"
"843","L3530403","out"
"844","L3884091","prov"
"845","L3801659","out"
"846","L4234101","prov"
"847","L3620974","nat"
"848","L522778","out"
"849","L3794449","out"
"850","L4766543","out"
"851","L3862581","nat"
"852","L6330000","out"
"853","L4234092","prov"
"854","L3657229","out"
"855","L3829011","out"
"856","L3860509","prov"
"857","L4984362","out"
"858","L2574062","out"
"859","L4234056","out"
"860","L4954998","out"
"861","L4012671","out"
"862","L1455828","nat"
"863","L4069562","out"
"864","L5934556","out"
"865","L3893077","prov"
"866","L3665561","out"
"867","L4858557","out"
"868","L4276056","out"
"869","L4831792","out"
"870","L4466007","out"
"871","L3884040","prov"
"872","L606198","out"
"873","L549529","out"
"874","L3261718","out"
"875","L4805688","out"
"876","L3664780","nat"
"877","L3993742","out"
"878","L3918574","out"
"879","L4102683","out"
"880","L3656850","out"
"881","L2474061","out"
"882","L4587325","out"
"883","L4618173","out"
"884","L2465351","prov"
"885","L3334152","out"
"886","L4740026","prov"
"887","L4090432","out"
"888","L5130990","prov"
"889","L4796779","prov"
"890","L2512264","out"
"891","L4815973","prov"
"892","L5213691","out"
"893","L3960543","out"
"894","L4832268","out"
"895","L4798811","prov"
"896","L4226433","out"
"897","L4279929","out"
"898","L8158224","nat"
"899","L4029854","prov"
"900","L1476198","nat"
"901","L3651023","out"
"902","L4464026","out"
"903","L4985175","out"
"904","L4912580","out"
"905","L4766482","out"
"906","L4699715","out"
"907","L4466595","out"
"908","L2864646","out"
"909","L4715388","out"
"910","L4965298","out"
"911","L4466026","out"
"912","L4458743","out"
"913","L4508599","out"
"914","L4685040","nat"
"915","L4582481","out"
"916","L4674600","nat"
"917","L4617662","out"
"918","L4188939","prov"
"919","L9147394","out"
"920","L4947060","out"
"921","L4125553","out"
"922","L4413347","out"
"923","L2565664","out"
"924","L4434743","out"
"925","L4811073","nat"
"926","L2565332","out"
"927","L4651484","out"
"928","L4748429","out"
"929","L6334993","out"
"930","L7314975","out"
"931","L4458745","out"
"932","L4465862","out"
"933","L4536434","out"
"934","L2528036","prov"
"935","L3982166","prov"
"936","L4487234","out"
"937","L2577311","out"
"938","L601250","out"
"939","L4376777","out"
"940","L4579631","out"
"941","L468599","out"
"942","L4908923","out"
"943","L4141874","out"
"944","L2614485","prov"
"945","L2196332","prov"
"946","L2519489","out"
"947","L4989173","out"
"948","L4573423","out"
"949","L4155593","out"
"950","L4382893","out"
"951","L8106300","out"
"952","L4855493","nat"
"953","L4434746","out"
"954","L4949431","out"
"955","L2439716","prov"
"956","L4346108","out"
"957","L5428346","out"
"958","L4870220","out"
"959","L4466534","out"
"960","L632066","out"
"961","L5371317","out"
"962","L4385350","nat"
"963","L4906983","out"
"964","L9642399","out"
"965","L4442241","out"
"966","L4591734","out"
"967","L4919154","nat"
"968","L4660635","out"
"969","L4188982","prov"
"970","L6420994","out"
"971","L4550728","out"
"972","L4649962","prov"
"973","L4920683","prov"
"974","L8931855","out"
"975","L4634825","out"
"976","L4458736","out"
"977","L4465922","out"
"978","L467346","out"
"979","L4465733","out"
"980","L4891434","out"
"981","L4993461","nat"
"982","L4267124","out"
"983","L4791983","out"
"984","L4376814","out"
"985","L4463732","out"
"986","L4442166","out"
"987","L4601122","out"
"988","L4937237","prov"
"989","L4814110","prov"
"990","L4145459","out"
"991","L5124731","out"
"992","L4376781","out"
"993","L4465997","out"
"994","L4921518","out"
"995","L6474100","out"
"996","L4865832","out"
"997","L4832301","out"
"998","L5084948","prov"
"999","L4873815","prov"
"1000","L5282060","out"
"1001","L4465987","out"
"1002","L5113298","out"
"1003","L4275092","out"
"1004","L4589092","out"
"1005","L4996566","prov"
"1006","L6095008","out"
"1007","L4487240","out"
"1008","L4508938","out"
"1009","L4458751","out"
"1010","L4591741","out"
"1011","L4466014","out"
"1012","L5863692","out"
"1013","L630537","out"
"1014","L6364560","out"
"1015","L5982682","prov"
"1016","L6302033","out"
"1017","L4382180","out"
"1018","L5222870","out"
"1019","L5874385","out"
"1020","L6121528","out"
"1021","L632108","out"
"1022","L6228009","out"
"1023","L5871314","out"
"1024","L6291172","out"
"1025","L6430239","out"
"1026","L5069909","out"
"1027","L2435412","out"
"1028","L6248661","out"
"1029","L4487203","out"
"1030","L6353567","out"
"1031","L5832135","out"
"1032","L6167434","out"
"1033","L5751152","out"
"1034","L5105127","out"
"1035","L6193368","out"
"1036","L6132807","out"
"1037","L5954778","nat"
"1038","L5950242","out"
"1039","L5526126","prov"
"1040","L5897729","out"
"1041","L6008003","prov"
"1042","L6174745","out"
"1043","L4955092","out"
"1044","L6281159","out"
"1045","L6086894","nat"
"1046","L5658074","out"
"1047","L4553929","out"
"1048","L6474073","out"
"1049","L4958808","prov"
"1050","L6323198","out"
"1051","L2565752","out"
"1052","L4487220","out"
"1053","L6566853","prov"
"1054","L5907872","out"
"1055","L5916840","out"
"1056","L5918271","out"
"1057","L6474087","out"
"1058","L6447786","out"
"1059","L4731553","out"
"1060","L5970993","prov"
"1061","L6226249","prov"
"1062","L632074","prov"
